[DEBUG] 2017-04-30 18:26:09.671 [main] Ejb3Column - Binding column: Ejb3DiscriminatorColumn{logicalColumnName'DTYPE', discriminatorTypeName='string'}
[DEBUG] 2017-04-30 18:26:09.671 [main] EntityBinder - Import with entity name Result
[DEBUG] 2017-04-30 18:26:09.671 [main] EntityBinder - Bind entity ru.atom.bombergirl.model.Result on table result
[DEBUG] 2017-04-30 18:26:09.673 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.result), mappingColumn=id, insertable=true, updatable=true, unique=false}
[DEBUG] 2017-04-30 18:26:09.674 [main] PropertyBinder - MetadataSourceProcessor property id with lazy=false
[DEBUG] 2017-04-30 18:26:09.674 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.Result:id]
[DEBUG] 2017-04-30 18:26:09.674 [main] SimpleValueBinder - building SimpleValue for id
[DEBUG] 2017-04-30 18:26:09.674 [main] PropertyBinder - Building property id
[DEBUG] 2017-04-30 18:26:09.674 [main] Ejb3Column - Binding column: Ejb3Column{table=org.hibernate.mapping.Table(game.result), mappingColumn=game_id, insertable=true, updatable=true, unique=true}
[DEBUG] 2017-04-30 18:26:09.674 [main] PropertyBinder - MetadataSourceProcessor property gameId with lazy=false
[DEBUG] 2017-04-30 18:26:09.674 [main] AbstractPropertyHolder - Attempting to locate auto-apply AttributeConverter for property [ru.atom.bombergirl.model.Result:gameId]
[DEBUG] 2017-04-30 18:26:09.675 [main] SimpleValueBinder - building SimpleValue for gameId
